Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,
"HQ085121C0002",,"P00027","0","DCA Definitive Contract","$18,276,193.00","Mar 17, 2022","Jan 28, 2019","97JC","MISSILE DEFENSE AGENCY (MDA)","MISSILE DEFENSE AGENCY (MDA)","S","AC24","NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D ADMINISTRATIVE EXPENSES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","MOORESTOWN","NJ","080573054","NONE","NONE OF THE ABOVE","CWM4UN76ZQW8","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","02769",
"HQ085121C0002",,"P00041","0","DCA Definitive Contract","$11,874,739.40","Aug 30, 2022","Jan 28, 2019","97JC","MISSILE DEFENSE AGENCY (MDA)","MISSILE DEFENSE AGENCY (MDA)","S","AC24","NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D ADMINISTRATIVE EXPENSES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","MOORESTOWN","NJ","080573054","NONE","NONE OF THE ABOVE","CWM4UN76ZQW8","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","02769",
"HQ085320F0007","HQ085320D0001","P00010","0","DO Delivery Order","$10,815,278.00","Jun 28, 2022","Feb 5, 2020","97JC","MISSILE DEFENSE AGENCY (MDA)","MISSILE DEFENSE AGENCY (MDA)","S","L014","TECHNICAL REPRESENTATIVE- GUIDED MISSILES","541614","PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","GRAND PRAIRIE","TX","750512704","NONE","NONE OF THE ABOVE","XFJMYSYFJEK4","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","64059",
"HQ085621C0001",,"P00012","0","DCA Definitive Contract","$79,189,566.32","Jan 14, 2022","Apr 26, 2020","97JC","MISSILE DEFENSE AGENCY (MDA)","MISSILE DEFENSE AGENCY (MDA)","S","AC13","NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HUNTSVILLE","AL","358051949","NONE","NONE OF THE ABOVE","NGBVY5X32XZ5","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","5D177",
"HQ085621C0001",,"P00023","0","DCA Definitive Contract","$166,356,500.00","Oct 21, 2022","Apr 26, 2020","97JC","MISSILE DEFENSE AGENCY (MDA)","MISSILE DEFENSE AGENCY (MDA)","S","AC13","NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HUNTSVILLE","AL","358051949","NONE","NONE OF THE ABOVE","NGBVY5X32XZ5","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","5D177",
"HR00111690008",,"P00048","0","Other Transaction Award Other Transaction Agreement","$18,764,039.10","Jul 26, 2022",,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","DEF ADVANCED RESEARCH PROJECTS AGCY","S","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)",,,"PALMDALE","CA","935990001",,,"LXKGXB75YKY6","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","0L1E5",
"HR001120C0074",,"P00006","0","DCA Definitive Contract","$80,876,000.00","May 18, 2022","Jan 10, 2020","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","DEF ADVANCED RESEARCH PROJECTS AGCY","S","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","PALMDALE","CA","935990001","E","EMPLOYMENT ELIGIBILITY VERIFICATION (52.222-54)","LXKGXB75YKY6","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","0L1E5",
"N0001919F2474","N0001914G0020","P00038","0","DO Delivery Order","$21,896,720.66","Sep 29, 2022","Dec 27, 2018","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","S","AC15","NATIONAL DEFENSE R&D SVCS; DEPARTMENT OF DEFENSE - MILITARY; R&D FACILITIES & MAJ EQUIP","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"N0001919F2972","N0001919G0029","P00010","0","DO Delivery Order","$26,985,285.00","Oct 4, 2022","Jul 2, 2019","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1520","AIRCRAFT, ROTARY WING","336413","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","OWEGO","NY","138273900","NONE","NONE OF THE ABOVE","HJP4JZG1FUL9","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","03640",
"N0001920C0009",,"P00013","0","DCA Definitive Contract","$59,020,000.00","Jun 14, 2022","Feb 13, 2019","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1510","AIRCRAFT, FIXED WING","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"N0001920C0009",,"P00019","0","DCA Definitive Contract","$10,322,900,348.97","Dec 30, 2022","Feb 13, 2019","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1510","AIRCRAFT, FIXED WING","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","G4KDGE4JFFK7","JSQTW5L2SSM1","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"N0001921C0020",,"P00036","0","DCA Definitive Contract","$13,583,915.00","Mar 10, 2022","Sep 30, 2019","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1510","AIRCRAFT, FIXED WING","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"N0001921C0020",,"P00054","0","DCA Definitive Contract","$27,688,642.00","Sep 23, 2022","Sep 30, 2019","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1510","AIRCRAFT, FIXED WING","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"N0001922F2230","N0001919G0029","0","0","DO Delivery Order","$36,007,409.00","Feb 23, 2022","Feb 23, 2022","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1520","AIRCRAFT, ROTARY WING","336413","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","OWEGO","NY","138273900","NONE","NONE OF THE ABOVE","HJP4JZG1FUL9","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","03640",
"N0001922F2304","N0001919G0011","0","0","DO Delivery Order","$49,273,462.00","Feb 25, 2022","Feb 15, 2022","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1410","GUIDED MISSILES","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","ORLANDO","FL","328198907","NONE","NONE OF THE ABOVE","H7PNSVNN5827","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04939",
"N0001922F2322","N0001919D0015","0","0","DO Delivery Order","$42,134,921.00","Feb 25, 2022","Feb 27, 2020","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1560","AIRFRAME STRUCTURAL COMPONENTS","336413","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"N0001922F2439","N0001919G0029","0","0","DO Delivery Order","$17,272,050.00","Sep 28, 2022","Sep 21, 2020","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1520","AIRCRAFT, ROTARY WING","336413","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","OWEGO","NY","138273900","NONE","NONE OF THE ABOVE","HJP4JZG1FUL9","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","03640",
"N0001922F2503","N0001919G0029","0","0","DO Delivery Order","$72,133,966.00","Jun 30, 2022","Aug 3, 2021","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","5865","ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK REACTION CAPABILITY EQUIPMENT","336413","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","OWEGO","NY","138273900","NONE","NONE OF THE ABOVE","HJP4JZG1FUL9","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","03640",
"N0002418C2301",,"A00035","0","DCA Definitive Contract","$42,553,354.00","Sep 26, 2022",,"1700","DEPT OF THE NAVY","SUP OF SHIPBUILDING CONV AND REPAIR","P","1905","COMBAT SHIPS AND LANDING VESSELS","336611","SHIP BUILDING AND REPAIRING","BALTIMORE","MD","212204207","NONE","NONE OF THE ABOVE","MJENSFHZJP11","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","38597",
"N0002418C5218",,"P00034","0","DCA Definitive Contract","$74,884,434.14","May 9, 2022",,"1700","DEPT OF THE NAVY","NAVSEA HQ","P","3590","MISCELLANEOUS SERVICE AND TRADE EQUIPMENT","334511","SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","MANASSAS","VA","201104166","NONE","NONE OF THE ABOVE","NMHFLDYJJ4C5","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","52088",
"N0002418C5218",,"P00037","0","DCA Definitive Contract","$10,084,216.76","Sep 30, 2022",,"1700","DEPT OF THE NAVY","NAVSEA HQ","P","3590","MISCELLANEOUS SERVICE AND TRADE EQUIPMENT","334511","SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","MANASSAS","VA","201104166","NONE","NONE OF THE ABOVE","NMHFLDYJJ4C5","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","52088",
"N0002418C5218",,"P00038","0","DCA Definitive Contract","$22,927,074.00","Nov 30, 2022",,"1700","DEPT OF THE NAVY","NAVSEA HQ","P","3590","MISCELLANEOUS SERVICE AND TRADE EQUIPMENT","334511","SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","MANASSAS","VA","201104166","NONE","NONE OF THE ABOVE","NMHFLDYJJ4C5","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","52088",
"N0002419C5102",,"P00016","0","DCA Definitive Contract","$15,000,000.00","Mar 3, 2022","Oct 6, 2015","1700","DEPT OF THE NAVY","NAVSEA HQ","P","5840","RADAR EQUIPMENT, EXCEPT AIRBORNE","334511","SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","MOORESTOWN","NJ","080573054","NONE","NONE OF THE ABOVE","CWM4UN76ZQW8","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","02769",
"N0003019C0025",,"P00044","0","DCA Definitive Contract","$265,000,000.00","Oct 19, 2022","Dec 11, 2018","1700","DEPT OF THE NAVY","STRATEGIC SYSTEMS PROGRAMS","S","AC22","NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","LITTLETON","CO","801258504","E","EMPLOYMENT ELIGIBILITY VERIFICATION (52.222-54)","FYHNA5WC8XD7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04236",
"N0003021C0015",,"P00007","6","DCA Definitive Contract","$41,588,422.00","Oct 28, 2022","Apr 17, 2021","1700","DEPT OF THE NAVY","STRATEGIC SYSTEMS PROGRAMS","P","1427","GUIDED MISSILE SUBSYSTEMS","334511","SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","UNIONDALE","NY","115533664","NONE","NONE OF THE ABOVE","Z9B5HQ9HSTM5","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","56232",
"N0003021C0100",,"P00010","16","DCA Definitive Contract","$60,011,684.00","Mar 31, 2022","Feb 24, 2021","1700","DEPT OF THE NAVY","STRATEGIC SYSTEMS PROGRAMS","P","1420","GUIDED MISSILE COMPONENTS","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","TITUSVILLE","FL","327807910","NONE","NONE OF THE ABOVE","KMEVRAKJVBD3","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","7X6A9",
"N0003021C0100",,"P00011","16","DCA Definitive Contract","$78,791,598.00","Apr 19, 2022","Feb 24, 2021","1700","DEPT OF THE NAVY","STRATEGIC SYSTEMS PROGRAMS","P","1420","GUIDED MISSILE COMPONENTS","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","TITUSVILLE","FL","327807910","NONE","NONE OF THE ABOVE","KMEVRAKJVBD3","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","7X6A9",
"N0003022C0100",,"PZ0001","16","DCA Definitive Contract","$18,404,207.00","Nov 1, 2022","Feb 10, 2022","1700","DEPT OF THE NAVY","STRATEGIC SYSTEMS PROGRAMS","P","1420","GUIDED MISSILE COMPONENTS","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","TITUSVILLE","FL","327807910","NONE","NONE OF THE ABOVE","KMEVRAKJVBD3","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","7X6A9",
"N6833518C0681",,"P00027","0","DCA Definitive Contract","$97,013,793.84","Dec 8, 2022","Aug 17, 2017","1700","DEPT OF THE NAVY","NAVAIR WARFARE CTR AIRCRAFT DIV","P","6625","ELECTRICAL AND ELECTRONIC PROPERTIES MEASURING AND TESTING INSTRUMENTS","334519","OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING","ORLANDO","FL","328255002","NONE","NONE OF THE ABOVE","KDT2YLB34NT6","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","16331",
"W31P4Q19C0058",,"P00024","1","DCA Definitive Contract","$10,612,209.00","Mar 23, 2022","Mar 22, 2018","2100","DEPT OF THE ARMY","W6QK ACC-RSA","P","1095","MISCELLANEOUS WEAPONS","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","LIVERPOOL","NY","130886062","E","EMPLOYMENT ELIGIBILITY VERIFICATION (52.222-54)","H11HD5VHGHN3","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","03538",
"W31P4Q22C0060",,"0","2","DCA Definitive Contract","$150,400,000.00","Jun 30, 2022","Jun 9, 2022","2100","DEPT OF THE ARMY","W6QK ACC-RSA","S","J014","MAINT/REPAIR/REBUILD OF EQUIPMENT- GUIDED MISSILES","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","GRAND PRAIRIE","TX","750512704","NONE","NONE OF THE ABOVE","XFJMYSYFJEK4","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","64059",
"W31P4Q22F0266","W31P4Q17D0026","0","1","DO Delivery Order","$10,601,176.00","Aug 25, 2022","Aug 22, 2022","2100","DEPT OF THE ARMY","W6QK ACC-RSA","P","1420","GUIDED MISSILE COMPONENTS","336419","OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","GRAND PRAIRIE","TX","750512704","NONE","NONE OF THE ABOVE","XFJMYSYFJEK4","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","64059",
"W31P4Q23C0006",,"0","1","DCA Definitive Contract","$209,348,720.08","Dec 1, 2022","Sep 29, 2022","2100","DEPT OF THE ARMY","W6QK ACC-RSA","P","1440","LAUNCHERS, GUIDED MISSILE","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","GRAND PRAIRIE","TX","750512704","NONE","NONE OF THE ABOVE","XFJMYSYFJEK4","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","64059",
"W56KGY21F0006","W56KGY17D0005","P00009","1","DO Delivery Order","$11,096,637.19","Jun 2, 2022","Aug 6, 2020","2100","DEPT OF THE ARMY","W6QK ACC-APG","P","5840","RADAR EQUIPMENT, EXCEPT AIRBORNE","334511","SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","LIVERPOOL","NY","130886062","NONE","NONE OF THE ABOVE","H11HD5VHGHN3","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","03538",
"0097","N0001914G0020","13","0","DO Delivery Order","$13,446,823.39","Feb 18, 2022",,"1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","S","AC15","NATIONAL DEFENSE R&D SVCS; DEPARTMENT OF DEFENSE - MILITARY; R&D FACILITIES & MAJ EQUIP","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"80JSC019C0012",,"P00083",0,"IDC Indefinite Delivery Contract","$15,000,000.00","Apr 14, 2022",,"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA JOHNSON SPACE CENTER","P","1555","SPACE VEHICLES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","LITTLETON","CO","801258504","NONE","NONE OF THE ABOVE","FYHNA5WC8XD7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04236",
"80JSC019C0012",,"P00107",0,"IDC Indefinite Delivery Contract","$22,600,000.00","Dec 15, 2022",,"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA JOHNSON SPACE CENTER","P","1555","SPACE VEHICLES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","LITTLETON","CO","801258504","NONE","NONE OF THE ABOVE","FYHNA5WC8XD7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04236",
"80MSFC22CA005",,"0","0","DCA Definitive Contract","$12,000,000.00","Mar 1, 2022","Aug 16, 2021","8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA MARSHALL SPACE FLIGHT CENTER","S","AR14","SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; R&D ADMINISTRATIVE EXPENSES","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","LITTLETON","CO","801258504","NONE","NONE OF THE ABOVE","FYHNA5WC8XD7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04236",
"FA820518F0001","FA820518D0001","P00048","0","DO Delivery Order","$65,505,176.75","Mar 10, 2022",,"5700","DEPT OF THE AIR FORCE","FA8205  AFLCMC WAUKH","S","J016","MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"FA820520F0254","FA820518D0001","P00007","0","DO Delivery Order","$26,622,565.00","Aug 11, 2022","Jun 15, 2016","5700","DEPT OF THE AIR FORCE","FA8205  AFLCMC WAUKH","S","J016","MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"FA820523F0505","FA820518D0001","P00001","0","DO Delivery Order","$16,064,385.00","Oct 13, 2022","Oct 15, 2021","5700","DEPT OF THE AIR FORCE","FA8205  AFLCMC WAUKH","S","J016","MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"FA821920C0001",,"P00035","0","DCA Definitive Contract","$10,000,000.00","Aug 25, 2022","Oct 1, 2018","5700","DEPT OF THE AIR FORCE","FA8219   AFNWC PZBG","S","AC24","NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D ADMINISTRATIVE EXPENSES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","KING OF PRUSSIA","PA","194062902","E","EMPLOYMENT ELIGIBILITY VERIFICATION (52.222-54)","KFN4YJH98D51","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","79272",
"FA821920C0001",,"P00039","0","DCA Definitive Contract","$15,130,224.00","Oct 31, 2022","Oct 1, 2018","5700","DEPT OF THE AIR FORCE","FA8219   AFNWC PZBG","S","AC24","NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D ADMINISTRATIVE EXPENSES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","KING OF PRUSSIA","PA","194062902","E","EMPLOYMENT ELIGIBILITY VERIFICATION (52.222-54)","KFN4YJH98D51","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","79272",
"FA823222C0005",,"0","0","DCA Definitive Contract","$13,983,904.00","Jun 3, 2022","Mar 3, 2021","5700","DEPT OF THE AIR FORCE","FA8232  AFLCMC WWMK","S","J016","MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES","811219","OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"FA823222F6015","FA823222D0004","0","16","DO Delivery Order","$17,478,049.15","Mar 30, 2022","Nov 24, 2021","5700","DEPT OF THE AIR FORCE","FA8232  AFLCMC WWMK","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","811219","OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"FA852822F0027","FA852819D0015","0","0","DO Delivery Order","$11,730,185.00","Jul 20, 2022","Jul 20, 2022","5700","DEPT OF THE AIR FORCE","FA8528  AFLCMC WIKA","P","1560","AIRFRAME STRUCTURAL COMPONENTS","336411","AIRCRAFT MANUFACTURING","PALMDALE","CA","935990001","NONE","NONE OF THE ABOVE","LXKGXB75YKY6","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","0L1E5",
"FA852822F0044","FA852819D0015","P00005","0","DO Delivery Order","$16,750,000.00","Oct 25, 2022","Aug 5, 2021","5700","DEPT OF THE AIR FORCE","FA8528  AFLCMC WIKA","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","336411","AIRCRAFT MANUFACTURING","PALMDALE","CA","935990001","NONE","NONE OF THE ABOVE","LXKGXB75YKY6","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","0L1E5",
